"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 21 03:03:46 UTC 2023","Sat Oct 21 03:04:44 UTC 2023","58002","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Sat Oct 21 03:29:46 UTC 2023","Sat Oct 21 03:29:47 UTC 2023","1098","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Oct 21 04:09:16 UTC 2023","Sat Oct 21 04:09:18 UTC 2023","1970","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Oct 21 04:28:30 UTC 2023","Sat Oct 21 04:28:40 UTC 2023","10001","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Oct 21 02:49:47 UTC 2023","Sat Oct 21 02:49:56 UTC 2023","9015","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Oct 21 03:29:34 UTC 2023","Sat Oct 21 03:29:46 UTC 2023","11901","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Oct 21 03:07:47 UTC 2023","Sat Oct 21 03:08:06 UTC 2023","19045","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Oct 21 03:13:33 UTC 2023","Sat Oct 21 03:13:49 UTC 2023","16084","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Oct 21 02:39:38 UTC 2023","Sat Oct 21 02:40:11 UTC 2023","33737","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Oct 21 04:31:03 UTC 2023","Sat Oct 21 04:31:10 UTC 2023","6768","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Oct 21 03:29:01 UTC 2023","Sat Oct 21 03:29:29 UTC 2023","27888","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Oct 21 05:37:32 UTC 2023","Sat Oct 21 05:37:44 UTC 2023","12084","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sat Oct 21 04:09:04 UTC 2023","Sat Oct 21 04:09:16 UTC 2023","11988","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Oct 21 03:08:18 UTC 2023","Sat Oct 21 03:08:21 UTC 2023","3556","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 21 02:56:00 UTC 2023","Sat Oct 21 02:56:07 UTC 2023","7855","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Oct 21 04:20:40 UTC 2023","Sat Oct 21 04:25:13 UTC 2023","272802","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Oct 21 03:37:25 UTC 2023","Sat Oct 21 03:37:28 UTC 2023","3431","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Oct 21 04:08:42 UTC 2023","Sat Oct 21 04:08:46 UTC 2023","4139","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Oct 21 03:09:06 UTC 2023","Sat Oct 21 03:09:34 UTC 2023","27552","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Oct 21 05:37:45 UTC 2023","Sat Oct 21 05:37:50 UTC 2023","5073","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Oct 21 03:12:16 UTC 2023","Sat Oct 21 03:12:36 UTC 2023","19580","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Oct 21 03:00:46 UTC 2023","Sat Oct 21 03:01:11 UTC 2023","24934","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Oct 21 03:00:44 UTC 2023","Sat Oct 21 03:00:46 UTC 2023","2095","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 21 03:36:58 UTC 2023","Sat Oct 21 03:37:16 UTC 2023","17807","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Oct 21 03:20:25 UTC 2023","Sat Oct 21 03:20:48 UTC 2023","22737","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Oct 21 05:00:52 UTC 2023","Sat Oct 21 05:00:56 UTC 2023","4127","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sat Oct 21 02:55:29 UTC 2023","Sat Oct 21 02:55:32 UTC 2023","2408","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Oct 21 04:08:32 UTC 2023","Sat Oct 21 04:08:35 UTC 2023","3386","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sat Oct 21 04:28:42 UTC 2023","Sat Oct 21 04:28:47 UTC 2023","4454","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sat Oct 21 03:01:11 UTC 2023","Sat Oct 21 03:01:18 UTC 2023","6962","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Oct 21 04:59:43 UTC 2023","Sat Oct 21 04:59:58 UTC 2023","15120","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sat Oct 21 03:02:37 UTC 2023","Sat Oct 21 03:02:39 UTC 2023","2877","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Oct 21 05:37:53 UTC 2023","Sat Oct 21 05:38:06 UTC 2023","13111","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"failed","Sat Oct 21 05:05:43 UTC 2023","Sat Oct 21 05:06:46 UTC 2023","63160","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Oct 21 03:03:39 UTC 2023","Sat Oct 21 03:03:42 UTC 2023","3689","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sat Oct 21 04:28:13 UTC 2023","Sat Oct 21 04:28:30 UTC 2023","16702","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Oct 21 03:13:52 UTC 2023","Sat Oct 21 03:13:53 UTC 2023","669","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Oct 21 03:37:18 UTC 2023","Sat Oct 21 03:37:25 UTC 2023","6745","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Oct 21 04:00:04 UTC 2023","Sat Oct 21 04:00:42 UTC 2023","37397","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Oct 21 02:57:57 UTC 2023","Sat Oct 21 02:58:00 UTC 2023","3184","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Oct 21 03:29:29 UTC 2023","Sat Oct 21 03:29:33 UTC 2023","3415","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
